
List of user-set options:

                                    Name   Value                used
                           linear_solver = ma57                  yes
                  ma57_automatic_scaling = yes                   yes
                                max_iter = 2000                  yes
                             mu_strategy = adaptive              yes
                             output_file = DynamicOptimization_lMtildestateIPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-006                yes
This is Ipopt version 3.11.0, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:    89811
Number of nonzeros in inequality constraint Jacobian.:       92
Number of nonzeros in Lagrangian Hessian.............:    39270

Reallocating memory for MA57: lfact (1621003)
Total number of variables............................:    19997
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    19997
                     variables with only upper bounds:        0
Total number of equality constraints.................:    15121
Total number of inequality constraints...............:       47
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:       47
        inequality constraints with only upper bounds:        0
 131 2.3381586e-001 7.63e-006 1.00e-005  -9.5 2.57e-001  -7.4 1.00e+000 1.00e+000h  1
 132 2.3381568e-001 4.36e-006 5.68e-004  -9.7 6.55e-002  -7.0 1.00e+000 4.31e-001h  1
 133 2.3381515e-001 9.50e-007 3.50e-005 -10.0 9.90e-002  -7.4 1.00e+000 1.00e+000h  1
 134 2.3381490e-001 2.42e-007 7.57e-006 -10.4 4.53e-002  -7.0 1.00e+000 1.00e+000h  1
 135 2.3381483e-001 4.15e-008 4.81e-005 -10.8 1.71e-001  -7.5 1.00e+000 1.00e+000h  1
Reallocating memory for MA57: lfact (1703508)
 136 2.3381480e-001 1.82e-008 2.29e-005 -11.0 8.77e-002  -8.0 1.00e+000 1.00e+000h  1
 137 2.3381480e-001 2.07e-008 2.23e-005 -11.0 1.14e-001  -8.4 1.00e+000 1.00e+000h  1
 138 2.3381480e-001 2.34e-008 4.87e-005 -11.0 3.98e-001  -8.9 3.98e-001 4.25e-001h  1
 139 2.3381480e-001 8.46e-009 7.99e-006 -11.0 1.04e-001  -8.5 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140 2.3381480e-001 3.00e-008 8.18e-004 -11.0 2.65e-001  -9.0 2.77e-001 9.35e-001h  1
 141 2.3381480e-001 2.38e-007 8.26e-004 -11.0 3.78e-001  -7.6 5.83e-002 4.98e-001h  1
 142 2.3381480e-001 1.92e-007 7.67e-004 -11.0 3.33e-002  -8.1 8.54e-002 1.63e-001f  1
 143 2.3381480e-001 1.42e-007 8.31e-004 -11.0 1.10e-001  -8.6 8.22e-001 2.63e-001f  2
 144 2.3381480e-001 1.41e-007 8.30e-004 -11.0 1.45e+001  -8.2 2.00e-003 1.19e-003h  2
 145 2.3381480e-001 1.41e-007 1.04e-003 -11.0 1.23e-002  -5.9 1.00e+000 3.64e-003h  2
 146 2.3381480e-001 1.36e-010 4.31e-010 -11.0 1.11e-003  -6.4 1.00e+000 1.00e+000h  1

Number of Iterations....: 146

                                   (scaled)                 (unscaled)
Objective...............:  2.3381479679282874e-001   2.3381479679282874e-001
Dual infeasibility......:  4.3104905482447347e-010   4.3104905482447347e-010
Constraint violation....:  1.3569294212562033e-010   1.3569294212562033e-010
Complementarity.........:  1.3247081197453190e-011   1.3247081197453190e-011
Overall NLP error.......:  4.3104905482447347e-010   4.3104905482447347e-010


Number of objective function evaluations             = 155
Number of objective gradient evaluations             = 147
Number of equality constraint evaluations            = 165
Number of inequality constraint evaluations          = 165
Number of equality constraint Jacobian evaluations   = 147
Number of inequality constraint Jacobian evaluations = 147
Number of Lagrangian Hessian evaluations             = 146
Total CPU secs in IPOPT (w/o function evaluations)   =     62.866
Total CPU secs in NLP function evaluations           =    140.888

EXIT: Optimal Solution Found.
